# Route inventory — lk.sps38.pro/next, generated from .cache/compiled_routes.php
# total=377  generated_at=2026-07-15  source=next/.cache/compiled_routes.php (read-only)
# columns: METHOD	path	controller::method	hasDto	hasAccessRules	hasMiddlewares	hasPhpIni
GET	/api/employees/{code_1c}/equipment	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEquipmentByCode1c	-	-	-	-
GET	/api/employees/{code_1c}/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getJsonDataByCode1C	-	-	-	-
GET	/api/employees/{code_1c}/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getLatenessByCode1C	-	-	-	-
GET	/api/employees/{code_1c}/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMetricsByCode1C	-	-	-	-
GET	/api/employees/{code_1c}/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getPositionByCode1C	-	-	-	-
GET	/api/employees/{code_1c}/siz	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSizByCode1c	-	-	-	-
GET	/api/employees/{code_1c}/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getViolationsByCode1C	-	-	-	-
GET	/api/exams/summary	SpsNext\LK\Exams\ExamsController::getExams	Y	Y	-	-
GET	/api/exams/summary/{examId}	SpsNext\LK\Exams\ExamsController::getExam	-	Y	-	-
GET	/api/exchange/1c/employees/{employeeCode1c}/history	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::getEmployeeWebhookHistory	-	-	-	-
GET	/api/image-resize	SpsNext\MediaHelper\Controllers\ImageResizeController::resize	-	Y	-	-
GET	/api/import/dining-room/summary	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::getImportSummary	Y	-	-	-
GET	/api/import/tickets	SpsNext\LK\Tickets\Controllers\TicketsController::importTickets	-	-	-	-
GET	/api/import/vehicle-tasks	SpsNext\WorkSheets\Tasks\Controllers\ImportTaskController::import	-	-	-	-
GET	/api/infostand	SpsNext\InfoStand\Controllers\InfoStandController::getAllRecords	-	-	-	-
GET	/api/infostand/search	SpsNext\InfoStand\Controllers\InfoStandController::searchRecords	-	-	-	-
GET	/api/knowledge-base/all	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::full	-	Y	-	-
GET	/api/knowledge-base/search	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::search	Y	Y	-	-
GET	/api/link/{link_id}/users/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getUsersInLink	-	-	-	-
GET	/api/lk/times/effective-schedule	SpsNext\LK\Times\Controllers\TimesController::getEffectiveSchedule	Y	Y	-	-
GET	/api/lk/times/lateness-events	SpsNext\LK\Times\Controllers\TimesController::listLatenessEvents	Y	Y	-	-
GET	/api/lk/times/policies	SpsNext\LK\Times\Controllers\TimesController::listPolicies	Y	Y	-	-
GET	/api/lk/times/policies/{uuid}	SpsNext\LK\Times\Controllers\TimesController::getPolicy	-	Y	-	-
GET	/api/lk/times/schedules	SpsNext\LK\Times\Controllers\TimesController::listSchedules	Y	Y	-	-
GET	/api/lk/times/schedules/current	SpsNext\LK\Times\Controllers\TimesController::getCurrentSchedule	Y	Y	-	-
GET	/api/lk/times/schedules/{uuid}	SpsNext\LK\Times\Controllers\TimesController::getSchedule	-	Y	-	-
GET	/api/location/{location_code_1c}/links/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getLinksByLocation	Y	-	-	-
GET	/api/locations/all	SpsNext\Location\Controllers\LocationController::getLocations	-	-	-	-
GET	/api/locations/all/tree	SpsNext\Location\Controllers\LocationController::getLocationsTree	-	-	-	-
GET	/api/locations/properties/catalog	SpsNext\Location\Controllers\LocationController::getLocationPropertiesCatalog	-	-	-	-
GET	/api/locations/search	SpsNext\Location\Controllers\LocationController::getLocationByName	Y	-	-	-
GET	/api/locations/{location_code_1c}/full-info	SpsNext\Location\Controllers\LocationController::getLocationFullInfo	-	-	-	-
GET	/api/locations/{location_code_1c}/properties	SpsNext\Location\Controllers\LocationController::getLocationProperties	-	-	-	-
GET	/api/locations/{location_code_1c}/roles	SpsNext\Location\Controllers\LocationController::getLocationRoles	-	-	-	-
GET	/api/map/locations/all	SpsNext\Location\Controllers\LocationController::getLocationsToMap	-	Y	-	-
GET	/api/mouse	SpsNext\WorkSheets\UsersControl\Controllers\UsersControlController::getTestTestMouse	-	-	-	-
GET	/api/news	SpsNext\LK\News\Controllers\NewsController::list	Y	Y	-	-
GET	/api/news/tags	SpsNext\LK\News\Controllers\NewsTagController::getTags	-	Y	-	-
GET	/api/news/{slug}	SpsNext\LK\News\Controllers\NewsController::getBySlug	-	Y	-	-
GET	/api/news/{slug}/comments	SpsNext\LK\News\Controllers\NewsCommentController::getCommentsBySlug	Y	Y	-	-
GET	/api/news/{slug}/related	SpsNext\LK\News\Controllers\NewsController::getRelatedBySlug	-	Y	-	-
GET	/api/notifications	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastsList	Y	Y	-	-
GET	/api/notifications/my	SpsNext\LK\Notifications\Controllers\NotificationsController::getMyNotifications	-	-	-	-
