# operationId reconciliation — generated by gen_operation_id_reconciliation.php
# sources: R=route_inventory.txt (local snapshot of N)  S=next/.cache/swagger/openapi.yml  P=public_next/.../endpoints
# count.routes_total=377
# count.spec_paths=300
# count.spec_ops=347
# count.routes_in_spec=345
# count.routes_absent_in_spec=32
# count.spec_absent_in_routes=2
# count.explicit=40
# count.method_fallback=306
# count.spec_only=1
# count.missing=32
# count.in_p_client=347
# count.spec_in_p=347
# count.spec_not_in_p=0
# count.p_not_in_spec=0
# count.explicit_fn_matches_opid=40
# count.explicit_fn_mismatch=0
METHOD	path	controller::method	present_in_legacy_spec	legacy_operation_id	id_source	generated_function	generated_query_key	canonical_id
GET	/api/documents/{uuid}	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getDocumentByUuid	Y	-	method-fallback	getApiDocumentsUuid	getApiDocumentsUuid	getDocumentByUuid
GET	/api/employee/full/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getFullUserByCode1c	Y	getFullEmployeeByCode1c	explicit	getFullEmployeeByCode1c	getFullEmployeeByCode1c	getFullEmployeeByCode1c
GET	/api/employees-uuid/{uuid}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEmployeeDataByUuid	Y	-	method-fallback	getApiEmployeesUuidUuid	getApiEmployeesUuidUuid	getEmployeeDataByUuid
GET	/api/employees-uuid/{uuid}/access-cards	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getAccessCardsByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidAccessCards	getApiEmployeesUuidUuidAccessCards	getAccessCardsByUuid
GET	/api/employees-uuid/{user_uuid}/documents	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getDocumentsByUserUuid	Y	-	method-fallback	getApiEmployeesUuidUserUuidDocuments	getApiEmployeesUuidUserUuidDocuments	getDocumentsByUserUuid
GET	/api/employees-uuid/{user_uuid}/documents/important	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getImportantDocumentsByUserUuid	Y	-	method-fallback	getApiEmployeesUuidUserUuidDocumentsImportant	getApiEmployeesUuidUserUuidDocumentsImportant	getImportantDocumentsByUserUuid
GET	/api/employees-uuid/{uuid}/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getJsonDataByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidJsonData	getApiEmployeesUuidUuidJsonData	getJsonDataByUuid
GET	/api/employees-uuid/{uuid}/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getLatenessByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidLateness	getApiEmployeesUuidUuidLateness	getLatenessByUuid
GET	/api/employees-uuid/{uuid}/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMetricsByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidMetrics	getApiEmployeesUuidUuidMetrics	getMetricsByUuid
GET	/api/employees-uuid/{uuid}/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getPositionByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidPositions	getApiEmployeesUuidUuidPositions	getPositionByUuid
GET	/api/employees-uuid/{uuid}/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getViolationsByUuid	Y	-	method-fallback	getApiEmployeesUuidUuidViolations	getApiEmployeesUuidUuidViolations	getViolationsByUuid
GET	/api/employees/access-cards/me	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getMyAccessCards	Y	-	method-fallback	getApiEmployeesAccessCardsMe	getApiEmployeesAccessCardsMe	getMyAccessCards
GET	/api/employees/documents/code-1c/{code_1c}	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getImportantDocumentsByUserCode1C	Y	-	method-fallback	getApiEmployeesDocumentsCode1cCode1c	getApiEmployeesDocumentsCode1cCode1c	getImportantDocumentsByUserCode1C
GET	/api/employees/documents/important/{code_1c}	-	Y	-	spec-only	getApiEmployeesDocumentsImportantCode1c	getApiEmployeesDocumentsImportantCode1c	-
GET	/api/employees/me	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getMyEmployeeData	Y	-	method-fallback	getApiEmployeesMe	getApiEmployeesMe	getMyEmployeeData
GET	/api/employees/me/docs-deadlines	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyDocsDeadLine	Y	-	method-fallback	getApiEmployeesMeDocsDeadlines	getApiEmployeesMeDocsDeadlines	getMyDocsDeadLine
GET	/api/employees/me/documents	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyDocuments	Y	-	method-fallback	getApiEmployeesMeDocuments	getApiEmployeesMeDocuments	getMyDocuments
GET	/api/employees/me/documents/important	SpsNext\Employee\Documents\Controllers\EmployeeDocumentsController::getMyImportantDocuments	Y	-	method-fallback	getApiEmployeesMeDocumentsImportant	getApiEmployeesMeDocumentsImportant	getMyImportantDocuments
GET	/api/employees/me/equipment	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEquipment	Y	-	method-fallback	getApiEmployeesMeEquipment	getApiEmployeesMeEquipment	getEquipment
GET	/api/employees/me/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getMyJsonData	Y	-	method-fallback	getApiEmployeesMeJsonData	getApiEmployeesMeJsonData	getMyJsonData
GET	/api/employees/me/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getMyLateness	Y	-	method-fallback	getApiEmployeesMeLateness	getApiEmployeesMeLateness	getMyLateness
GET	/api/employees/me/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMyMetrics	Y	-	method-fallback	getApiEmployeesMeMetrics	getApiEmployeesMeMetrics	getMyMetrics
GET	/api/employees/me/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getMyPosition	Y	-	method-fallback	getApiEmployeesMePositions	getApiEmployeesMePositions	getMyPosition
GET	/api/employees/me/responsible-persons	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSupervisors	Y	-	method-fallback	getApiEmployeesMeResponsiblePersons	getApiEmployeesMeResponsiblePersons	getSupervisors
GET	/api/employees/me/siz	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSiz	Y	-	method-fallback	getApiEmployeesMeSiz	getApiEmployeesMeSiz	getSiz
GET	/api/employees/me/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getMyViolations	Y	-	method-fallback	getApiEmployeesMeViolations	getApiEmployeesMeViolations	getMyViolations
GET	/api/employees/responsible-persons/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getResponsibleByCode1c	Y	-	method-fallback	getApiEmployeesResponsiblePersonsCode1c	getApiEmployeesResponsiblePersonsCode1c	getResponsibleByCode1c
GET	/api/employees/{code_1c}	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEmployeeDataByCode1c	Y	-	method-fallback	getApiEmployeesCode1c	getApiEmployeesCode1c	getEmployeeDataByCode1c
GET	/api/employees/{code_1c}/access-cards	SpsNext\Employee\AccessCards\Controllers\AccessCardsController::getAccessCardsByCode1C	Y	-	method-fallback	getApiEmployeesCode1cAccessCards	getApiEmployeesCode1cAccessCards	getAccessCardsByCode1C
GET	/api/employees/{code_1c}/equipment	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getEquipmentByCode1c	Y	-	method-fallback	getApiEmployeesCode1cEquipment	getApiEmployeesCode1cEquipment	getEquipmentByCode1c
GET	/api/employees/{code_1c}/json-data	SpsNext\Employee\JsonData\Controllers\JsonDataController::getJsonDataByCode1C	Y	-	method-fallback	getApiEmployeesCode1cJsonData	getApiEmployeesCode1cJsonData	getJsonDataByCode1C
GET	/api/employees/{code_1c}/lateness	SpsNext\Employee\Lateness\Controllers\ViolationsController::getLatenessByCode1C	Y	-	method-fallback	getApiEmployeesCode1cLateness	getApiEmployeesCode1cLateness	getLatenessByCode1C
GET	/api/employees/{code_1c}/metrics	SpsNext\Employee\Metrics\Controllers\MetricsController::getMetricsByCode1C	Y	-	method-fallback	getApiEmployeesCode1cMetrics	getApiEmployeesCode1cMetrics	getMetricsByCode1C
GET	/api/employees/{code_1c}/positions	SpsNext\Employee\Positions\Controllers\EmployeePositionsController::getPositionByCode1C	Y	-	method-fallback	getApiEmployeesCode1cPositions	getApiEmployeesCode1cPositions	getPositionByCode1C
GET	/api/employees/{code_1c}/siz	SpsNext\Employee\EmployeeData\Controllers\EmployeeDataController::getSizByCode1c	Y	-	method-fallback	getApiEmployeesCode1cSiz	getApiEmployeesCode1cSiz	getSizByCode1c
GET	/api/employees/{code_1c}/violations	SpsNext\Employee\Lateness\Controllers\ViolationsController::getViolationsByCode1C	Y	-	method-fallback	getApiEmployeesCode1cViolations	getApiEmployeesCode1cViolations	getViolationsByCode1C
GET	/api/exams/summary	SpsNext\LK\Exams\ExamsController::getExams	Y	-	method-fallback	getApiExamsSummary	getApiExamsSummary	getExams
GET	/api/exams/summary/{examId}	SpsNext\LK\Exams\ExamsController::getExam	Y	-	method-fallback	getApiExamsSummaryExamId	getApiExamsSummaryExamId	getExam
GET	/api/exchange/1c/employees/{employeeCode1c}/history	SpsNext\Exchange1C\Webhooks\Exchange1CWebhooksController::getEmployeeWebhookHistory	Y	-	method-fallback	getApiExchange1cEmployeesEmployeeCode1cHistory	getApiExchange1cEmployeesEmployeeCode1cHistory	getEmployeeWebhookHistory
GET	/api/image-resize	SpsNext\MediaHelper\Controllers\ImageResizeController::resize	N	-	missing	-	-	resize
GET	/api/import/dining-room/summary	SpsNext\LK\DiningRoom\Controllers\DiningRoomController::getImportSummary	Y	-	method-fallback	getApiImportDiningRoomSummary	getApiImportDiningRoomSummary	getImportSummary
GET	/api/import/tickets	SpsNext\LK\Tickets\Controllers\TicketsController::importTickets	N	-	missing	-	-	importTickets
GET	/api/import/vehicle-tasks	SpsNext\WorkSheets\Tasks\Controllers\ImportTaskController::import	Y	-	method-fallback	getApiImportVehicleTasks	getApiImportVehicleTasks	import
GET	/api/infostand	SpsNext\InfoStand\Controllers\InfoStandController::getAllRecords	Y	-	method-fallback	getApiInfostand	getApiInfostand	getAllRecords
GET	/api/infostand/search	SpsNext\InfoStand\Controllers\InfoStandController::searchRecords	Y	-	method-fallback	getApiInfostandSearch	getApiInfostandSearch	searchRecords
GET	/api/knowledge-base/all	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::full	Y	-	method-fallback	getApiKnowledgeBaseAll	getApiKnowledgeBaseAll	full
GET	/api/knowledge-base/search	SpsNext\KnowLedgeBase\KnowledgeBaseRestFullController::search	Y	-	method-fallback	getApiKnowledgeBaseSearch	getApiKnowledgeBaseSearch	search
GET	/api/link/{link_id}/users/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getUsersInLink	Y	-	method-fallback	getApiLinkLinkIdUsersAll	getApiLinkLinkIdUsersAll	getUsersInLink
GET	/api/lk/times/effective-schedule	SpsNext\LK\Times\Controllers\TimesController::getEffectiveSchedule	Y	-	method-fallback	getApiLkTimesEffectiveSchedule	getApiLkTimesEffectiveSchedule	getEffectiveSchedule
GET	/api/lk/times/lateness-events	SpsNext\LK\Times\Controllers\TimesController::listLatenessEvents	Y	-	method-fallback	getApiLkTimesLatenessEvents	getApiLkTimesLatenessEvents	listLatenessEvents
GET	/api/lk/times/policies	SpsNext\LK\Times\Controllers\TimesController::listPolicies	Y	-	method-fallback	getApiLkTimesPolicies	getApiLkTimesPolicies	listPolicies
GET	/api/lk/times/policies/{uuid}	SpsNext\LK\Times\Controllers\TimesController::getPolicy	Y	-	method-fallback	getApiLkTimesPoliciesUuid	getApiLkTimesPoliciesUuid	getPolicy
GET	/api/lk/times/schedules	SpsNext\LK\Times\Controllers\TimesController::listSchedules	Y	-	method-fallback	getApiLkTimesSchedules	getApiLkTimesSchedules	listSchedules
GET	/api/lk/times/schedules/current	SpsNext\LK\Times\Controllers\TimesController::getCurrentSchedule	Y	-	method-fallback	getApiLkTimesSchedulesCurrent	getApiLkTimesSchedulesCurrent	getCurrentSchedule
GET	/api/lk/times/schedules/{uuid}	SpsNext\LK\Times\Controllers\TimesController::getSchedule	Y	-	method-fallback	getApiLkTimesSchedulesUuid	getApiLkTimesSchedulesUuid	getSchedule
GET	/api/location/{location_code_1c}/links/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getLinksByLocation	Y	-	method-fallback	getApiLocationLocationCode1cLinksAll	getApiLocationLocationCode1cLinksAll	getLinksByLocation
GET	/api/locations/all	SpsNext\Location\Controllers\LocationController::getLocations	Y	-	method-fallback	getApiLocationsAll	getApiLocationsAll	getLocations
GET	/api/locations/all/tree	SpsNext\Location\Controllers\LocationController::getLocationsTree	Y	-	method-fallback	getApiLocationsAllTree	getApiLocationsAllTree	getLocationsTree
